股票代码: 300059{'流通市值': '814.77亿', '总市值': '1006.67亿', '流通股本': '54.35亿', '总股本': '67.16亿'}
股票代码: 000001{'流通市值': '2866.23亿', '总市值': '2866.25亿', '流通股本': '194.06亿', '总股本': '194.06亿'}
股票代码: 600000{'流通市值': '3052.07亿', '总市值': '3187.64亿', '流通股本': '281.04亿', '总股本': '293.52亿'}
股票代码: 600001{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600002{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600003{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600004{'流通市值': '330.88亿', '总市值': '330.88亿', '流通股本': '20.69亿', '总股本': '20.69亿'}
股票代码: 600005{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600006{'流通市值': '79.20亿', '总市值': '79.20亿', '流通股本': '20.00亿', '总股本': '20.00亿'}
股票代码: 600007{'流通市值': '148.98亿', '总市值': '148.98亿', '流通股本': '10.07亿', '总股本': '10.07亿'}
股票代码: 600008{'流通市值': '183.07亿', '总市值': '183.07亿', '流通股本': '56.85亿', '总股本': '56.85亿'}
股票代码: 600009{'流通市值': '791.46亿', '总市值': '1394.73亿', '流通股本': '10.93亿', '总股本': '19.27亿'}
股票代码: 600010{'流通市值': '380.13亿', '总市值': '547.02亿', '流通股本': '316.77亿', '总股本': '455.85亿'}
股票代码: 600011{'流通市值': '543.29亿', '总市值': '775.49亿', '流通股本': '109.98亿', '总股本': '156.98亿'}
股票代码: 600012{'流通市值': '63.29亿', '总市值': '90.06亿', '流通股本': '11.66亿', '总股本': '16.59亿'}
股票代码: 600015{'流通市值': '912.98亿', '总市值': '1095.57亿', '流通股本': '128.23亿', '总股本': '153.87亿'}
股票代码: 600016{'流通市值': '2092.27亿', '总市值': '2583.16亿', '流通股本': '354.62亿', '总股本': '437.82亿'}
股票代码: 600017{'流通市值': '79.66亿', '总市值': '79.66亿', '流通股本': '30.76亿', '总股本': '30.76亿'}
股票代码: 600018{'流通市值': '1123.92亿', '总市值': '1123.92亿', '流通股本': '231.74亿', '总股本': '231.74亿'}
股票代码: 600019{'流通市值': '1178.70亿', '总市值': '1185.00亿', '流通股本': '221.56亿', '总股本': '222.74亿'}
股票代码: 600020{'流通市值': '90.12亿', '总市值': '90.12亿', '流通股本': '22.47亿', '总股本': '22.47亿'}
股票代码: 600021{'流通市值': '168.06亿', '总市值': '187.39亿', '流通股本': '23.47亿', '总股本': '26.17亿'}
